geneSymbol,log2FC,p_value,FDR,type
Fgf12,0.9327072037777474,1.5957312327987085e-05,0.002735378867500277,UP
Fam54b,0.26390504578322105,1.5848826961605752e-05,0.002735378867500277,UP
Mcf2,-0.5208667380922631,1.5938488901451254e-05,0.002735378867500277,DN
Zg16,2.419253666271659,1.651023151313007e-05,0.00280101581030756,UP
AA986860,0.8058984716509405,1.6447849206319854e-05,0.00280101581030756,UP
Mlec,-0.42316415747520075,1.6684874147747204e-05,0.002805704916157737,DN
Necap2,-0.36637999194149007,1.666725497460683e-05,0.002805704916157737,DN
Mthfd1l,-0.3500365017953113,1.6811218392378033e-05,0.002814551879271291,DN
HNG_043800,0.3792414641712789,1.715093872510762e-05,0.0028548050797652285,UP
Pfkp,0.5353780959169763,1.7201225200303955e-05,0.0028548050797652285,UP
Spint1,2.3265951207283546,1.7289526973648075e-05,0.002857038197567508,UP
Rnf24,0.27007254037005435,1.7589385046283365e-05,0.0028727802183560907,UP
Gadd45g,1.1720076358698157,1.7582312593162162e-05,0.0028727802183560907,UP
Rfc2,-0.5730527976551016,1.7610567198347615e-05,0.0028727802183560907,DN
Tulp3,0.4263497119406088,1.8124876525731803e-05,0.0029438051501235055,UP
Phactr1,1.2737907921404625,1.8200199503016536e-05,0.0029438051501235055,UP
9330182L06Rik,0.5547661091483733,1.8523961351271147e-05,0.0029585634004214317,UP
Mmp15,-0.5850200572072906,1.843382710555051e-05,0.0029585634004214317,DN
Lrrn1,1.3476503546681704,1.8502508458971257e-05,0.0029585634004214317,UP
Pqlc2,0.27949228452397,1.8795322532928024e-05,0.0029893960488622025,UP
Hmox1,-0.8447604156469275,1.897924148855555e-05,0.0030061228468927074,DN
Dyrk3,0.42988454110933727,1.943195634265909e-05,0.0030651100723635655,UP
Fbxo2,1.0259715791104171,2.0013666456893602e-05,0.0031318701604534926,UP
Tmem30b,1.2255297956348252,2.0019289509343293e-05,0.0031318701604534926,UP
HAG_037020,0.642477129576418,2.013523069604072e-05,0.00313715112705823,UP
Arhgap29,0.90425565642692,2.0282613778742204e-05,0.0031472680209843388,UP
Slco2a1,1.1270880081592183,2.0676784295604735e-05,0.0031954421462826884,UP
Eda2r,0.7469319579510723,2.1549074717385805e-05,0.003316819677871173,UP
Fetub,1.7901538518071811,2.1750215887361258e-05,0.003334334300611863,UP
Itga2,-0.8269043639481217,2.1986534853669772e-05,0.00335708003373713,DN
Ptprf,-0.5717313726246611,2.2393723061212698e-05,0.0034056302657076137,DN
Atp9a,0.7472816970890945,2.2903188902725443e-05,0.0034623401152002933,UP
AK035520,1.2020996291319772,2.2948026017648388e-05,0.0034623401152002933,UP
Ttc23,0.8801108035827516,2.385228431906748e-05,0.003584603925304897,UP
C4b,2.2640133219745997,2.4216281270137318e-05,0.0036250348574262026,UP
Ptgfrn,1.6951291202851677,2.4847070428263354e-05,0.003704931142139331,UP
Cblb,-0.17694470285847608,2.5198547472778353e-05,0.00374271966587897,DN
Snx20,-1.0091955411962772,2.5455245491457016e-05,0.003766192367829059,DN
Gimap6,-0.26181973453878626,2.5726120693543793e-05,0.0037915732784322537,DN
HNG_001028,-0.39994701123151033,2.6246771053283202e-05,0.003838665688298569,DN
Nrg4,1.0904074254930198,2.6184152121547437e-05,0.003838665688298569,UP
Klhdc8a,1.267482341123457,2.6446825001408647e-05,0.0038531610837930184,UP
Mcm7,-0.46720408464853413,2.6941165130760193e-05,0.0038628235631902245,DN
Dffb,-0.24898769175747137,2.7077355872240105e-05,0.0038628235631902245,DN
Ncf2,-0.4126351939349213,2.6710760251538993e-05,0.0038628235631902245,DN
Fam84b,0.7074998044472043,2.7089459672205943e-05,0.0038628235631902245,UP
Ranbp1,-0.2448135427460656,2.7120316329639008e-05,0.0038628235631902245,DN
Nmral1,-0.3542865028770006,2.7065103166007752e-05,0.0038628235631902245,DN
Il15,-0.7614738160255103,2.7404325257450846e-05,0.0038887654413658503,DN
HAG_024325,0.8363267004584554,2.7656665808460083e-05,0.003910037952742734,UP
Cxadr,0.9654601717069968,2.777995114905578e-05,0.003912975259268477,UP
Chrna7,1.2363156058831397,2.850978574695492e-05,0.004001013020341041,UP
Abca4,1.4623004865881315,2.8803295195275855e-05,0.00402739701169989,UP
Mcm4,-0.38635845185884854,2.9211928646297215e-05,0.004069626789366633,DN
Nacc2,0.5758378513200082,2.9463428620041666e-05,0.004089738171942656,UP
Gpr4,1.026539217028871,2.999287764935451e-05,0.004133170128632348,UP
