geneSymbol,log2FC,p_value,FDR,type,young_promoter_methylation,young_CpG_count,aged_promoter_methylation,aged_CpG_count,promoter_methylation_change,multiomics_pattern
4930528F23Rik,1.1443442269783215,8.04242845535767e-07,0.0005814777455108,UP,0.4032258064516129,31.0,0.3125,40,-0.09072580645161288,RNA_UP_METHYLATION_DOWN
Rgs7bp,-2.696243742369644,7.957018422833777e-07,0.0005814777455108,DN,0.2539444444444444,18.0,0.3703888888888889,18,0.11644444444444446,RNA_DOWN_METHYLATION_UP
Gm9199,1.545483038783611,1.030946326402286e-06,0.0005944073082917,UP,0.9705,16.0,0.9743846153846154,13,0.0038846153846153753,RNA_UP_METHYLATION_UP
Mmp2,-1.364830401696477,1.0194538816323629e-06,0.0005944073082917,DN,0.6729473684210526,19.0,0.7464736842105263,19,0.07352631578947366,RNA_DOWN_METHYLATION_UP
C1rl,0.5672194714693877,1.0433115806232309e-06,0.0005944073082917,UP,0.8305416666666666,24.0,0.8155238095238098,21,-0.01501785714285686,RNA_UP_METHYLATION_DOWN
Ampd3,0.8195451083518703,9.19516994884189e-07,0.0005944073082917,UP,0.95,10.0,0.8958333333333334,12,-0.054166666666666585,RNA_UP_METHYLATION_DOWN
Zswim5,1.3780846896269514,8.960723966071504e-07,0.0005944073082917,UP,0.2285714285714286,28.0,0.042666666666666665,75,-0.18590476190476193,RNA_UP_METHYLATION_DOWN
HAG_036831,0.8043136297876465,1.0228929984886476e-06,0.0005944073082917,UP,0.15625,32.0,0.07112820512820513,39,-0.08512179487179487,RNA_UP_METHYLATION_DOWN
1810019J16Rik,1.472124122455845,1.007375924831445e-06,0.0005944073082917,UP,0.8095,14.0,0.8194444444444444,18,0.009944444444444422,RNA_UP_METHYLATION_UP
Muc1,1.8598493542678591,9.495273100597456e-07,0.0005944073082917,UP,0.050930555555555555,72.0,0.07851923076923077,52,0.027588675213675216,RNA_UP_METHYLATION_UP
Agtr1a,2.0447866062423934,1.004985747672825e-06,0.0005944073082917,UP,0.5416875,16.0,0.8409090909090909,11,0.29922159090909095,RNA_UP_METHYLATION_UP
Gm10384,-1.361025282348781,9.185180160609888e-07,0.0005944073082917,DN,0.8243846153846154,13.0,0.825,10,0.0006153846153845732,RNA_DOWN_METHYLATION_UP
